NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
1,3,1,9,4,STEM,20000,4,90000,8,Male,Black or of African descent,30,3
1,,4,4,4,NON-STEM,20000,4,150000,8,Male,White or of European descent,30,4
,,1,6,1,NON-STEM,15,30,70000,8,Male,White or of European descent,60,2
,1,1,3,4,,20000,7,110000,8,Male,White or of European descent,30,4
,1,1,4,3,STEM,5,7,38000,14,Male,White or of European descent,30,1
3,3,4,9,1,STEM,60,10,108000,12,Male,White or of European descent,30,4
4,6,4,13,4,NON-STEM,3000,7,56000,8,Male,White or of European descent,40,2
,1,4,9,3,NON-STEM,750,1,55000,,,,,2
,1,2,2,3,STEM,300,4,48000,8,,,,1
1,4,4,8,3,STEM,300,4,120000,12,Male,White or of European descent,30,4
1,1,1,6,3,STEM,300,22,110000,8,Male,White or of European descent,50,4
,1,1,9,3,STEM,7500,16,80000,8,Male,,40,3
,3,1,8,3,STEM,7500,7,98000,8,Male,White or of European descent,40,3
,,,2,3,STEM,3000,4,150000,14,Male,White or of European descent,30,4
3,6,5,14,4,STEM,15,7,225000,12,Male,White or of European descent,30,6
2,3,2,9,4,STEM,3000,13,122000,8,Male,White or of European descent,40,4
4,2,4,7,3,STEM,300,4,120000,12,Male,White or of European descent,30,4
,,2,5,3,STEM,60,4,52000,12,Male,White or of European descent,30,2
,,1,1,4,STEM,60,19,117000,8,Male,White or of European descent,40,4
,,2,5,4,STEM,7500,19,115000,8,Male,White or of European descent,50,4
,1,1,5,3,NON-STEM,20000,19,102000,12,Male,White or of European descent,50,4
1,2,,3,4,STEM,20000,19,113000,8,Male,White or of European descent,40,4
3,2,4,6,2,STEM,300,10,56000,12,Male,White or of European descent,30,2
,1,1,4,4,STEM,20000,10,80527,12,Non-Male,Other,30,3
3,6,6,22,1,STEM,5,10,70000,12,Male,White or of European descent,30,2
2,1,5,6,1,,60,13,84000,8,Male,White or of European descent,30,3
1,,4,7,1,STEM,20000,1,74500,12,Male,Other,30,2
2,3,8,4,3,STEM,60,22,160000,8,Male,White or of European descent,50,5
1,,3,7,1,NON-STEM,300,7,65000,8,Male,White or of European descent,40,2
5,8,6,11,4,STEM,60,13,150000,12,Male,White or of European descent,40,4
,2,4,8,3,STEM,15,19,80000,12,Male,Black or of African descent,40,3
,,,,3,STEM,300,7,98000,14,,,,3
1,2,2,7,3,STEM,5,16,86500,12,Male,White or of European descent,40,3
1,1,1,7,4,STEM,60,10,125000,14,Male,White or of European descent,30,4
4,5,6,7,3,STEM,15,4,115000,8,Male,White or of European descent,30,4
